#        time                area                spin                 c_x                 c_y                 c_z
    0.0000000    1.3931856514e+01    0.0000000000e+00    1.2500000000e+02    1.2800000000e+02    1.2800000000e+02
    0.1250000    1.3931864800e+01    0.0000000000e+00    1.2499961424e+02    1.2800712760e+02    1.2800000000e+02
    0.2500000    1.3931891077e+01    0.0000000000e+00    1.2499956950e+02    1.2800737544e+02    1.2800000000e+02
    0.3750000    1.3931945901e+01    0.0000000000e+00    1.2499952328e+02    1.2800689157e+02    1.2800000000e+02
    0.5000000    1.3932039417e+01    0.0000000000e+00    1.2499947952e+02    1.2800529186e+02    1.2800000000e+02
    0.6250000    1.3932187567e+01    0.0000000000e+00    1.2499944490e+02    1.2800234877e+02    1.2800000000e+02
    0.7500000    1.3932408449e+01    0.0000000000e+00    1.2499942707e+02    1.2799795502e+02    1.2800000000e+02
    0.8750000    1.3932697450e+01    0.0000000000e+00    1.2499943400e+02    1.2799215453e+02    1.2800000000e+02
    1.0000000    1.3933117059e+01    0.0000000000e+00    1.2499947388e+02    1.2798507357e+02    1.2800000000e+02
    1.1250000    1.3933868345e+01    0.0000000000e+00    1.2499955244e+02    1.2797686566e+02    1.2800000000e+02
    1.2500000    1.3933719494e+01    0.0000000000e+00    1.2499967907e+02    1.2796766243e+02    1.2800000001e+02
    1.3750000    1.3932760237e+01    0.0000000000e+00    1.2499986466e+02    1.2795758966e+02    1.2800000000e+02
    1.5000000    1.3934341489e+01    0.0000000000e+00    1.2500009893e+02    1.2794675167e+02    1.2800000001e+02
    1.6250000    1.3937426446e+01    0.0000000000e+00    1.2500039152e+02    1.2793522055e+02    1.2800000000e+02
    1.7500000    1.3939320860e+01    0.0000000000e+00    1.2500076577e+02    1.2792314210e+02    1.2800000000e+02
    1.8750000    1.3941118530e+01    0.0000000000e+00    1.2500121203e+02    1.2791056421e+02    1.2800000000e+02
    2.0000000    1.3942381007e+01    0.0000000000e+00    1.2500173320e+02    1.2789752467e+02    1.2800000000e+02
    2.1250000    1.3943084525e+01    0.0000000000e+00    1.2500234020e+02    1.2788413164e+02    1.2800000000e+02
    2.2500000    1.3943005418e+01    0.0000000000e+00    1.2500303329e+02    1.2787044280e+02    1.2800000000e+02
    2.3750000    1.3942695699e+01    0.0000000000e+00    1.2500382204e+02    1.2785652715e+02    1.2800000001e+02
    2.5000000    1.3942886663e+01    0.0000000000e+00    1.2500469813e+02    1.2784240742e+02    1.2799999999e+02
    2.6250000    1.3943377722e+01    0.0000000000e+00    1.2500566253e+02    1.2782819230e+02    1.2799999999e+02
    2.7500000    1.3943364971e+01    0.0000000000e+00    1.2500673317e+02    1.2781392970e+02    1.2799999999e+02
    2.8750000    1.3943225454e+01    0.0000000000e+00    1.2500790390e+02    1.2779969488e+02    1.2800000000e+02
    3.0000000    1.3943061111e+01    0.0000000000e+00    1.2500917152e+02    1.2778555317e+02    1.2800000000e+02
    3.1250000    1.3942365274e+01    0.0000000000e+00    1.2501054400e+02    1.2777154239e+02    1.2799999999e+02
    3.2500000    1.3941316948e+01    0.0000000000e+00    1.2501201138e+02    1.2775771380e+02    1.2800000000e+02
    3.3750000    1.3940081670e+01    0.0000000000e+00    1.2501357605e+02    1.2774414418e+02    1.2800000000e+02
    3.5000000    1.3938669258e+01    0.0000000000e+00    1.2501524020e+02    1.2773092134e+02    1.2799999999e+02
    3.6250000    1.3936916611e+01    0.0000000000e+00    1.2501700308e+02    1.2771817479e+02    1.2799999999e+02
    3.7500000    1.3935274457e+01    0.0000000000e+00    1.2501886389e+02    1.2770628602e+02    1.2800000000e+02
    3.8750000    1.3933551351e+01    0.0000000000e+00    1.2502082249e+02    1.2769481289e+02    1.2800000001e+02
    4.0000000    1.3931358410e+01    0.0000000000e+00    1.2502287315e+02    1.2768294248e+02    1.2799999999e+02
    4.1250000    1.3929271693e+01    0.0000000000e+00    1.2502501032e+02    1.2767057056e+02    1.2800000000e+02
    4.2500000    1.3927210087e+01    0.0000000000e+00    1.2502723196e+02    1.2765776889e+02    1.2800000000e+02
    4.3750000    1.3924995980e+01    0.0000000000e+00    1.2502953869e+02    1.2764454946e+02    1.2800000000e+02
    4.5000000    1.3922765141e+01    0.0000000000e+00    1.2503192726e+02    1.2763096916e+02    1.2800000000e+02
    4.6250000    1.3920213548e+01    0.0000000000e+00    1.2503439493e+02    1.2761704067e+02    1.2800000000e+02
    4.7500000    1.3917466809e+01    0.0000000000e+00    1.2503693074e+02    1.2760279330e+02    1.2800000000e+02
    4.8750000    1.3916195440e+01    0.0000000000e+00    1.2503953691e+02    1.2758827831e+02    1.2800000000e+02
    5.0000000    1.3913108908e+01    0.0000000000e+00    1.2504221913e+02    1.2757354628e+02    1.2799999999e+02
    5.1250000    1.3910361775e+01    1.0892559737e-02    1.2504487038e+02    1.2755863291e+02    1.2800000000e+02
    5.2500000    1.3909133671e+01    1.6048036542e-02    1.2504731747e+02    1.2754357917e+02    1.2800000000e+02
    5.3750000    1.3907288744e+01    1.8838328625e-02    1.2505005278e+02    1.2752842356e+02    1.2800000000e+02
    5.5000000    1.3903944868e+01    2.2518659531e-02    1.2505328222e+02    1.2751318158e+02    1.2800000000e+02
    5.6250000    1.3902327544e+01    2.3924378138e-02    1.2505663368e+02    1.2749788592e+02    1.2800000000e+02
